Service Tag,System Type,Ship Date,Dell IBU,Description,Provider,Warrenty Extension Notice *,Start Date,End Date,Days Left,,,,,,,,,,,,,,,,,,
0MBC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
1bhc831,optiplex gx260,8/26/2003,canada,next business day onsite resolution,uny,no,8/27/2004,8/26/2010,0,,,,,,,,,,,,,,,,,,
59hc831,optiplex gx260,8/26/2003,canada,next business day onsite resolution,uny,no,8/27/2004,8/26/2010,0,,,,,,,,,,,,,,,,,,
KJ9C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
LGGC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
I5MC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
PLLC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
ECEC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
7p1c831,latitude c640,8/11/2003,americas,complete care,uny,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,,,,,,,
3l1c831,latitude d800,8/11/2003,americas,client gold support / prosupport,dell,no,8/11/2003,8/10/2006,0,complete care,uny,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,
C8IC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
KFDC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
8l0c831,optiplex gx260,8/8/2003,americas,next business day support,uny,no,8/7/2004,8/7/2006,0,next business day support,uny,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,
jfdc831,optiplex gx270,8/10/2003,americas,next business day support,uny,no,8/9/2004,8/9/2006,0,,,,,,,,,,,,,,,,,,
8lbc831,latitude d600,8/13/2003,americas,complete care,uny,no,8/12/2004,8/12/2006,0,,,,,,,,,,,,,,,,,,
bj2c831,dimension 4600,8/9/2003,americas,next business day support,bsc,no,8/9/2003,8/8/2004,0,,,,,,,,,,,,,,,,,,
4IIC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
jbpc831,optiplex gx260,8/12/2003,americas,next business day support,wang,no,8/11/2004,8/11/2006,0,,,,,,,,,,,,,,,,,,
C14C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
P23C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
N9EC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
N20C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
gnhc831,poweredge 4600,8/11/2003,americas,next business day support,uny,no,11/8/2007,8/10/2008,0,,,,,,,,,,,,,,,,,,
A28C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
hchc831,optiplex gx260,8/11/2003,americas,next business day support,wang,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,,,,,,,
h96c831,inspiron 5100,8/11/2003,americas,qlx,8/10/2004,8/10/2006,0,,,,,,,,,,,,,,,,,,,,
C6OC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
JA6C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
N53C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
fnbc831,optiplex gx260,8/8/2003,americas,next business day support,wang,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,,,,,,,
A2LC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
J2EC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
69jc831,optiplex sx260,8/13/2003,americas,next business day support,wang,no,8/12/2004,8/12/2006,0,,,,,,,,,,,,,,,,,,
fgpc831,latitude d600,8/13/2003,americas,dc1,8/12/2004,8/12/2007,0,,,,,,,,,,,,,,,,,,,,
DKIC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
I3PC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
dd8c831,optiplex gx260,8/8/2003,canada,4 hour on-site service,uny,no,8/8/2004,8/8/2006,0,,,,,,,,,,,,,,,,,,
7dpc831,inspiron 5100,8/14/2003,americas,qlx,8/13/2004,8/13/2005,0,,,,,,,,,,,,,,,,,,,,
3FEC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
90bc831,optiplex gx260,8/8/2003,americas,next business day support,uny,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,,,,,,,
46nc831,optiplex gx260,8/11/2003,americas,next business day support,wang,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,,,,,,,
65kc831,inspiron 500m,8/13/2003,canada,complete care,sol,no,8/13/2004,8/13/2006,0,,,,,,,,,,,,,,,,,,
6IJC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
E4MC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
KG9C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
KI8C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
N2HC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
6OAC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
MBPC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
5d2c831,optiplex gx270,8/11/2003,americas,client gold support / prosupport,dell,no,8/11/2003,8/10/2006,0,next business day support,uny,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,
PA2C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
6d1c831,dell precision workstation 360,8/11/2003,americas,client gold support / prosupport,dell,no,8/11/2003,8/10/2006,0,next business day support,uny,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,
bdjc831,optiplex 160l,8/11/2003,americas,client gold support / prosupport,dell,no,8/11/2003,8/10/2006,0,next business day support,wang,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,
12EC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
h65c831,optiplex gx260,8/8/2003,americas,next business day support,uny,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,,,,,,,
PEDC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
99jc831,optiplex gx60,8/8/2003,americas,next business day support,wang,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,,,,,,,
NA8C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
396c831,latitude d600,8/15/2003,americas,next business day support,wang,no,8/14/2004,8/14/2006,0,,,,,,,,,,,,,,,,,,
56OC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
BOBC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
77mc831,optiplex gx260,8/11/2003,americas,next business day support,bsc,no,9/29/2006,8/10/2008,0,,,,,,,,,,,,,,,,,,
h6kc831,latitude c840,8/13/2003,americas,complete care,uny,no,8/12/2004,8/12/2007,0,,,,,,,,,,,,,,,,,,
58fc831,optiplex gx270,8/13/2003,americas,next business day support,uny,no,8/12/2006,8/12/2008,0,,,,,,,,,,,,,,,,,,
MJ3C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
10nc831,optiplex sx270n,8/9/2003,americas,next business day support,wang,no,8/8/2004,8/8/2006,0,,,,,,,,,,,,,,,,,,
LB4C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
OJ7C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
8c2c831,optiplex gx270,8/11/2003,americas,client gold support / prosupport,dell,no,8/11/2003,8/10/2006,0,next business day support,uny,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,
7A2C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
LE2C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
KD2C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
gfhc831,optiplex gx260,8/11/2003,americas,next business day support,uny,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,,,,,,,
KFBC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
3A1C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
FCOC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
0A1C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
j23c831,optiplex gx270,8/11/2003,americas,next business day support,uny,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,,,,,,,
511c831,dell precision workstation 360,8/8/2003,americas,next business day support,uny,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,,,,,,,
OB4C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
19mc831,inspiron 500m,8/14/2003,americas,sol,8/14/2003,8/13/2004,0,,,,,,,,,,,,,,,,,,,,
438c831,latitude d600,8/13/2003,americas,next business day support,bsc,no,8/12/2004,8/12/2006,0,,,,,,,,,,,,,,,,,,
AE0C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
CBEC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
PK3C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
5djc831,optiplex 160l,8/11/2003,americas,client gold support / prosupport,dell,no,8/11/2003,8/10/2006,0,next business day support,wang,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,
bm2c831,xps/dimension xps,8/11/2003,americas,qlx,8/10/2004,8/10/2006,0,,,,,,,,,,,,,,,,,,,,
PIGC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
47jc831,inspiron 5150,8/11/2003,americas,sol,9/22/2006,9/30/2007,0,,,,,,,,,,,,,,,,,,,,
bc6c831,latitude d600,8/15/2003,americas,next business day support,wang,no,8/14/2004,8/14/2006,0,,,,,,,,,,,,,,,,,,
598c831,optiplex gx260,8/8/2003,americas,next business day support,ncr,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,,,,,,,
9b5c831,dell precision workstation 360,8/11/2003,americas,next business day support,uny,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,,,,,,,
ddkc831,inspiron 500m,8/14/2003,americas,sol,8/13/2004,8/13/2006,0,,,,,,,,,,,,,,,,,,,,
GEMC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
jpdc831,optiplex gx260,8/8/2003,americas,next business day support,uny,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,,,,,,,
4pjc831,optiplex sx260,8/11/2003,americas,client gold support / prosupport,dell,no,8/11/2003,8/10/2006,0,next business day support,wang,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,
FIEC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
4CAC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfc831,latitude c840,8/14/2003,americas,next business day support,bsc,no,8/13/2004,8/13/2006,0,,,,,,,,,,,,,,,,,,
18pc831,optiplex gx260,8/13/2003,americas,next business day support,uny,no,8/12/2004,8/12/2006,0,,,,,,,,,,,,,,,,,,
HI6C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
EJMC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
65mc831,optiplex gx260,8/11/2003,americas,next business day support,wang,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,,,,,,,
j5lc831,latitude c640,8/13/2003,americas,complete care,dell,no,4/6/2006,1/31/2007,0,next business day support,uny,no,8/12/2006,1/31/2007,0,,,,,,,,,,,,
62JC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
EP1C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
hnjc831,optiplex sx260,8/11/2003,americas,client gold support / prosupport,dell,no,8/11/2003,8/10/2006,0,next business day support,uny,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,
0EJC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
LFKC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
PILC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
72dc831,optiplex gx260,8/13/2003,americas,client gold support / prosupport,dell,no,8/13/2003,8/12/2006,0,next business day support,wang,no,8/12/2004,8/12/2006,0,,,,,,,,,,,,
f9cc831,optiplex gx260,8/8/2003,americas,client gold support / prosupport,dell,no,8/8/2003,8/7/2006,0,next business day support,wang,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,
M8NC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
2E7C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
jl7c831,optiplex gx260,8/13/2003,americas,next business day support,qlx,no,8/12/2004,8/12/2007,0,,,,,,,,,,,,,,,,,,
1l5c831,optiplex gx260,8/11/2003,americas,next business day support,uny,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,,,,,,,
K52C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
E8KC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
8k0c831,optiplex gx260,8/8/2003,americas,next business day support,uny,no,8/7/2004,8/7/2006,0,next business day support,uny,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,
1AJC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
7GIC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
f66c831,dell precision workstation 360,8/9/2003,americas,next business day support,uny,no,8/8/2004,8/8/2006,0,,,,,,,,,,,,,,,,,,
M0NC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
A8IC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
O41C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
089C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
N0HC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
KG7C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
9O1C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
8L4C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
ID6C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
bl3c831,poweredge 2650,8/12/2003,americas,4 hour on-site service,uny,no,8/11/2006,8/11/2008,0,,,,,,,,,,,,,,,,,,
K9AC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
ck5c831,optiplex gx260,8/11/2003,americas,next business day support,uny,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,,,,,,,
L66C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
KDMC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
76GC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
dblc831,inspiron 1100,8/13/2003,americas,bsc,8/12/2004,8/12/2005,0,,,,,,,,,,,,,,,,,,,,
3k0c831,optiplex gx260,8/9/2003,americas,client gold support / prosupport,dell,no,8/9/2003,8/8/2006,0,next business day support,bsc,no,8/8/2004,8/8/2006,0,,,,,,,,,,,,
0L0C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
h2jc831,inspiron 5150,9/5/2003,americas,rapid response depot,sol,no,9/22/2006,9/30/2007,0,,,,,,,,,,,,,,,,,,
EPLC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
EEOC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
LODC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
475c831,optiplex gx260,8/8/2003,americas,next business day support,uny,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,,,,,,,
O0JC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
GOAC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
g98c831,inspiron 1100,8/12/2003,americas,bsc,8/11/2004,8/11/2006,0,,,,,,,,,,,,,,,,,,,,
ck0c831,optiplex gx260,8/8/2003,americas,next business day support,uny,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,,,,,,,
fd9c831,optiplex sx270n,8/8/2003,americas,4 hour on-site service,uny,no,11/5/2004,11/5/2006,0,,,,,,,,,,,,,,,,,,
bcbc831,inspiron 8500,8/11/2003,americas,sol,8/11/2003,8/10/2004,0,,,,,,,,,,,,,,,,,,,,
0APC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
772c831,optiplex sx270n,8/8/2003,americas,next business day support,uny,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,,,,,,,
P7EC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
63jc831,optiplex 160l,10/27/2003,americas,next business day support,bsc,no,10/26/2004,10/26/2006,0,,,,,,,,,,,,,,,,,,
7d5c831,latitude d500,8/11/2003,americas,complete care,dell,no,11/15/2006,8/10/2008,0,next business day support,uny,no,11/15/2006,8/10/2008,0,,,,,,,,,,,,
gd8c831,inspiron 8500,8/14/2003,americas,complete care,bsc,no,8/13/2004,8/13/2006,0,,,,,,,,,,,,,,,,,,
MKKC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
f7nc831,optiplex gx260,8/11/2003,americas,next business day support,wang,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,,,,,,,
KPDC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
6d8c831,latitude d600,8/11/2003,americas,client gold support / prosupport,dell,no,8/11/2003,8/10/2006,0,complete care,uny,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,
dnbc831,latitude d600,8/14/2003,americas,client gold support / prosupport,dell,no,8/14/2003,8/13/2006,0,complete care,uny,no,8/13/2004,8/13/2006,0,,,,,,,,,,,,
0DPC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
K86C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
fh1c831,optiplex gx270,10/31/2003,americas,next business day support,bsc,no,10/30/2004,10/31/2006,0,,,,,,,,,,,,,,,,,,
h9fc831,optiplex gx260,8/11/2003,americas,next business day support,uny,no,8/10/2004,8/10/2006,0,next business day support,uny,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,
IIJC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
2PIC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
2k3c831,optiplex 160l,8/8/2003,americas,next business day support,wang,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,,,,,,,
K7MC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
HE1C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
MOCC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
2d8c831,poweredge 600sc,8/17/2003,americas,next business day support,uny,no,8/17/2003,8/16/2004,0,,,,,,,,,,,,,,,,,,
H3OC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
31lc831,optiplex gx260,8/11/2003,americas,next business day support,wang,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,,,,,,,
1ODC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
FAHC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
71pc831,dell precision workstation 360,8/10/2003,americas,client gold support / prosupport,dell,no,8/10/2003,8/9/2006,0,next business day support,uny,no,8/9/2004,8/9/2006,0,,,,,,,,,,,,
36bc831,latitude d600,8/14/2003,americas,client gold support / prosupport,dell,no,8/14/2003,8/13/2006,0,complete care,uny,no,8/13/2004,8/13/2006,0,,,,,,,,,,,,
KE8C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
8b7c831,optiplex gx260,8/14/2003,americas,next business day support,qlx,no,8/13/2004,8/13/2007,0,,,,,,,,,,,,,,,,,,
0JCC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
glcc831,latitude d600,8/13/2003,americas,rapid response depot,sol,no,8/12/2004,8/12/2006,0,,,,,,,,,,,,,,,,,,
g4nc831,latitude d600,8/13/2003,americas,uny,8/12/2004,8/12/2006,0,,,,,,,,,,,,,,,,,,,,
PM7C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
5MIC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
b30c831,latitude c610,8/13/2003,americas,complete care,wang,no,8/12/2004,8/12/2006,0,,,,,,,,,,,,,,,,,,
K7IC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
1dbc831,optiplex gx260,8/11/2003,americas,next business day support,uny,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,,,,,,,
079C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
0F0C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
L90C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
M37C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
O4BC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
I19C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
h41c831,inspiron 5150,8/14/2003,americas,rapid response depot,sol,no,9/22/2006,9/22/2007,0,,,,,,,,,,,,,,,,,,
f37c831,optiplex gx270,8/8/2003,americas,next business day support,uny,no,8/7/2004,8/7/2006,0,,,,,,,,,,,,,,,,,,
6E8C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
dnnc831,dell precision workstation 360,8/11/2003,americas,client gold support / prosupport,dell,no,8/11/2003,8/10/2006,0,next business day support,uny,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,
3E8C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
83hc831,optiplex gx270,8/11/2003,americas,next business day support,wang,no,8/10/2004,8/10/2007,0,,,,,,,,,,,,,,,,,,
4JOC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
0IGC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
PDGC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
bn7c831,inspiron 5100,8/11/2003,americas,sol,8/11/2003,8/10/2004,0,,,,,,,,,,,,,,,,,,,,
KDPC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
4fmc831,inspiron 5150,8/13/2003,americas,sol,9/22/2006,9/30/2007,0,,,,,,,,,,,,,,,,,,,,
f0cc831,optiplex gx260,8/11/2003,canada,next business day support,uny,no,8/11/2004,8/11/2007,0,,,,,,,,,,,,,,,,,,
26bc831,inspiron 5100,8/11/2003,americas,bsc,8/10/2004,8/10/2007,0,,,,,,,,,,,,,,,,,,,,
I02C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
AKAC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
049C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
7mlc831,poweredge 2600,8/11/2003,americas,silver premium support,dell,no,8/11/2003,8/10/2006,0,4 hour on-site service,uny,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,
djfc831,latitude c840,8/14/2003,americas,client gold support / prosupport,dell,no,8/14/2003,8/13/2006,0,complete care,uny,no,8/13/2004,8/13/2006,0,,,,,,,,,,,,
E76C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
LMPC831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
9jdc831,optiplex gx260,8/11/2003,americas,next business day support,uny,no,8/10/2004,8/10/2006,0,,,,,,,,,,,,,,,,,,
A93C831,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
