Service Tag,System Type,Ship Date,Dell IBU,Description,Provider,Warrenty Extension Notice *,Start Date,End Date,Days Left,,,,,,,,,,,,,,,,,,
8k0kyb1,poweredge 2900,10/14/2006,americas,silver premium support,dell,no,10/13/2009,10/13/2011,268,next business day support,uny,no,10/13/2009,10/13/2011,268,,,,,,,,,,,,
NLFKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
ODBKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
IF4KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
HFNKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
KIOKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
jbckyb1,optiplex gx620,10/14/2006,americas,keep your hard drive service,dell,no,10/14/2006,10/13/2009,0,next business day support,qlx,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,
PENKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
f3mkyb1,latitude d620,10/16/2006,americas,client gold support / prosupport,dell,no,10/16/2006,10/15/2009,0,next business day support,uny,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,
8h4kyb1,optiplex gx620,10/14/2006,americas,client gold support / prosupport,dell,no,10/14/2006,10/13/2010,0,next business day support,uny,no,10/14/2007,10/13/2010,0,,,,,,,,,,,,
1AJKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
158kyb1,latitude d620,10/15/2006,americas,rapid response depot,sol,no,10/15/2007,10/14/2009,0,,,,,,,,,,,,,,,,,,
P15KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
60hkyb1,inspiron 640m / e1405,10/16/2006,americas,sol,10/16/2006,10/16/2007,0,limited technical support,dell,10/16/2006,10/16/2007,0,,,,,,,,,,,,,,,
glmkyb1,latitude d620,10/16/2006,canada,complete care,dell,no,10/16/2006,10/15/2009,0,next business day support,uny,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,
MO2KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
KG5KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
94kkyb1,latitude d520,10/16/2006,americas,complete care,dell,no,10/16/2006,10/15/2010,0,next business day support,qlx,no,10/16/2007,10/15/2010,0,,,,,,,,,,,,
O9EKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
053KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
A41KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
chjkyb1,latitude d620,10/18/2006,americas,complete care,dell,no,10/18/2006,10/17/2009,0,client gold support / prosupport,dell,no,10/18/2006,10/17/2009,0,next business day support,uny,no,10/18/2007,10/17/2009,0,,,,,,
jjlkyb1,xps m1710,10/18/2006,americas,xps technical support,dell,no,10/18/2006,10/18/2007,0,next business day support,qlx,no,10/18/2006,10/18/2007,0,,,,,,,,,,,,
GFEKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
1E4KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
P10KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
77EKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
49dkyb1,inspiron 9400/e1705,10/15/2006,americas,limited technical support,dell,no,10/15/2006,10/15/2007,0,rapid response depot,sol,no,10/15/2006,10/15/2007,0,,,,,,,,,,,,
P3KKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
AA0KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
2IJKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
PD6KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
M23KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
LNPKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
I62KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
NFHKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
92pkyb1,xps/dimension 700,10/14/2006,americas,dell,10/14/2007,10/13/2008,0,next business day support,bsc,10/14/2007,10/13/2008,0,,,,,,,,,,,,,,,
27mkyb1,latitude d820,10/16/2006,americas,client gold support / prosupport,dell,no,10/16/2006,10/15/2009,0,complete care,dell,no,10/16/2006,10/15/2009,0,next business day support,qlx,no,10/16/2007,10/15/2009,0,,,,,,
319kyb1,latitude d420,10/16/2006,americas,next business day support,uny,no,11/10/2009,11/5/2010,0,,,,,,,,,,,,,,,,,,
jgjkyb1,latitude d620,10/16/2006,americas,client gold support / prosupport,dell,no,10/16/2006,10/15/2009,0,next business day support,uny,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,
47bkyb1,inspiron 1300/b130,10/15/2006,americas,qlx,10/15/2007,10/14/2010,0,limited technical support,dell,10/15/2007,10/14/2010,0,,,,,,,,,,,,,,,
3fbkyb1,optiplex gx620,10/14/2006,americas,keep your hard drive service,dell,no,10/14/2006,10/13/2009,0,next business day support,qlx,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,
IP4KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
M9CKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
j4lkyb1,optiplex gx620,10/14/2006,americas,next business day support,uny,no,10/14/2007,10/13/2011,268,,,,,,,,,,,,,,,,,,
3OCKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
O8CKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
O38KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
g3mkyb1,latitude d620,4/30/2009,americas,client gold support / prosupport,dell,no,5/1/2006,4/30/2009,0,complete care,dell,no,5/1/2006,4/30/2009,0,next business day support,uny,no,5/1/2007,4/30/2009,0,,,,,,
9EIKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
5O8KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
3E9KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
NI6KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
LOGKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
29kkyb1,latitude d620,10/15/2006,americas,complete care,dell,no,10/15/2006,10/14/2009,0,client gold support / prosupport,dell,no,10/15/2006,10/14/2009,0,next business day support,uny,no,10/15/2007,10/14/2009,0,,,,,,
PKNKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
149kyb1,dimension e520,10/14/2006,americas,dell,10/14/2006,10/14/2007,0,next business day support,bsc,10/14/2006,10/14/2007,0,,,,,,,,,,,,,,,
555kyb1,optiplex 745,10/14/2006,americas,client gold support / prosupport,dell,no,10/14/2006,10/13/2009,0,next business day support,uny,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,
CBOKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
8ggkyb1,inspiron 9400/e1705,10/17/2006,americas,bsc,10/17/2007,10/16/2008,0,limited technical support,dell,10/17/2007,10/16/2008,0,,,,,,,,,,,,,,,
LJAKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
f9kkyb1,dimension c521,10/14/2006,canada,limited technical support,dell,no,10/14/2007,10/13/2010,0,next business day support,wang,no,10/14/2007,10/13/2010,0,,,,,,,,,,,,
LL6KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
EL5KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
g28kyb1,dimension c521,10/16/2006,americas,next business day support,qlx,no,10/16/2007,10/15/2009,0,limited technical support,dell,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,
6k2kyb1,optiplex gx620,10/14/2006,americas,keep your hard drive service,dell,no,10/14/2006,10/14/2009,0,,,,,,,,,,,,,,,,,,
ck1kyb1,latitude d620,10/15/2006,americas,next business day support,uny,no,10/15/2007,10/14/2009,0,,,,,,,,,,,,,,,,,,
EIEKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
LIKKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
CEGKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
E02KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
3JEKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
O9GKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
LNOKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
ON5KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
NFJKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
940kyb1,latitude d820,10/16/2006,americas,next business day support,bsc,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,,,,,,,
gdpkyb1,inspiron 9400/e1705,10/16/2006,americas,bsc,10/16/2007,10/15/2008,0,limited technical support,dell,10/16/2007,10/15/2008,0,,,,,,,,,,,,,,,
AA5KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
4KOKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
bmmkyb1,latitude d620,10/16/2006,americas,next business day support,uny,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,,,,,,,
L2JKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
NCEKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
OC0KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
hh9kyb1,inspiron 6400/e1505,10/31/2006,latin america,next business day support,uny,no,10/16/2007,1/13/2009,0,,,,,,,,,,,,,,,,,,
PPCKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
8cckyb1,poweredge 2950,10/14/2006,americas,4 hour on-site service,uny,no,3/26/2010,3/24/2011,65,silver premium support,dell,no,3/26/2010,3/24/2011,65,,,,,,,,,,,,
D0AKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
DENKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
CIEKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
82nkyb1,optiplex gx520,11/8/2006,canada,next business day support,uny,no,2/18/2010,2/16/2011,29,,,,,,,,,,,,,,,,,,
4bdkyb1,dimension e520,10/16/2006,americas,client gold support / prosupport,dell,no,10/16/2006,10/15/2009,0,next business day support,qlx,no,10/16/2007,10/15/2009,0,limited technical support,dell,no,10/16/2007,10/15/2009,0,,,,,,
NHNKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
M94KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
j22kyb1,optiplex gx620,10/18/2006,americas,next business day support,uny,no,10/18/2007,10/17/2009,0,,,,,,,,,,,,,,,,,,
1dmkyb1,optiplex 745,10/14/2006,americas,next business day support,uny,no,10/14/2007,10/13/2010,0,,,,,,,,,,,,,,,,,,
P85KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
c2mkyb1,optiplex gx620,10/16/2006,canada,next business day support,uny,no,10/16/2007,10/15/2011,270,,,,,,,,,,,,,,,,,,
3A9KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
21lkyb1,optiplex gx620,10/14/2006,americas,next business day support,uny,no,10/14/2007,10/13/2011,268,,,,,,,,,,,,,,,,,,
1dhkyb1,dimension e520,10/14/2006,canada,complete care,dell,no,10/14/2006,10/13/2009,0,limited technical support,dell,no,10/14/2007,10/13/2009,0,next business day support,wang,no,10/14/2007,10/13/2009,0,,,,,,
92lkyb1,inspiron 1300/b130,10/15/2006,americas,limited technical support,dell,no,10/15/2006,10/15/2007,0,rapid response depot,sol,no,10/15/2006,10/15/2007,0,,,,,,,,,,,,
3BMKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
8g4kyb1,latitude d620,10/15/2006,americas,next business day support,uny,no,10/15/2007,10/14/2009,0,,,,,,,,,,,,,,,,,,
c5pkyb1,optiplex gx620,10/14/2006,latin america,next business day support,uny,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,,,,,,,
gk7kyb1,latitude d620,10/16/2006,americas,next business day support,uny,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,,,,,,,
CHAKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
6dnkyb1,latitude d610,10/27/2006,latin america,next business day support,uny,no,10/17/2007,10/16/2010,0,,,,,,,,,,,,,,,,,,
9m4kyb1,latitude d620,10/15/2006,americas,next business day support,uny,no,10/15/2007,10/14/2009,0,,,,,,,,,,,,,,,,,,
5fgkyb1,inspiron 640m / e1405,10/31/2006,americas,limited technical support,dell,no,10/31/2006,10/31/2007,0,rapid response depot,sol,no,10/31/2006,10/31/2007,0,,,,,,,,,,,,
LM8KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
KEMKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
2f0kyb1,latitude d520,10/16/2006,americas,rapid response depot,sol,no,10/16/2006,10/16/2007,0,,,,,,,,,,,,,,,,,,
KMDKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
ch3kyb1,xps m1710,10/16/2006,americas,xps technical support,dell,no,10/16/2007,10/15/2009,0,next business day support,uny,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,
LL1KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
EA5KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
GO5KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
EFGKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
K7EKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
jk5kyb1,dimension e521,10/16/2006,americas,bsc,10/16/2007,10/15/2008,0,limited technical support,dell,10/16/2007,10/15/2008,0,,,,,,,,,,,,,,,
ILKKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
JP5KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
69fkyb1,dimension c521,10/14/2006,americas,bsc,10/14/2006,10/14/2007,0,limited technical support,dell,10/14/2006,10/14/2007,0,,,,,,,,,,,,,,,
09CKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
PEJKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
LMIKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
1nmkyb1,latitude d620,10/16/2006,americas,complete care,dell,no,10/16/2006,10/15/2009,0,client gold support / prosupport,dell,no,10/16/2006,10/15/2009,0,next business day support,uny,no,10/16/2007,10/15/2009,0,,,,,,
0HKKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
39mkyb1,optiplex gx520,10/13/2006,americas,next business day support,uny,no,10/13/2007,10/12/2009,0,,,,,,,,,,,,,,,,,,
4j5kyb1,dimension e520,10/16/2006,americas,dell,10/16/2006,10/16/2007,0,next business day support,bsc,10/16/2006,10/16/2007,0,,,,,,,,,,,,,,,
L5EKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
026KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
PC7KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
MPCKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
37pkyb1,optiplex gx620,10/14/2006,latin america,next business day support,uny,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,,,,,,,
9flkyb1,latitude d620,10/16/2006,americas,complete care,dell,no,10/16/2006,10/15/2010,0,next business day support,uny,no,10/16/2007,10/15/2010,0,,,,,,,,,,,,
PHFKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
863kyb1,optiplex gx620,10/14/2006,americas,client gold support / prosupport,dell,no,10/14/2006,10/13/2009,0,next business day support,uny,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,
N5PKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
2p2kyb1,optiplex gx620,10/16/2006,americas,keep your hard drive service,dell,no,10/16/2006,10/16/2009,0,,,,,,,,,,,,,,,,,,
155kyb1,dimension c521,10/16/2006,americas,qlx,10/16/2007,10/15/2009,0,limited technical support,dell,10/16/2007,10/15/2009,0,,,,,,,,,,,,,,,
9j8kyb1,latitude d620,10/16/2006,americas,complete care,dell,no,10/16/2006,10/15/2009,0,next business day support,uny,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,
8I9KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
h65kyb1,dimension e520,10/13/2006,americas,bsc,10/12/2010,10/11/2011,266,limited technical support,dell,10/12/2010,10/11/2011,266,,,,,,,,,,,,,,,
d7kkyb1,latitude d520,10/16/2006,americas,next business day support,uny,no,10/16/2006,10/16/2007,0,,,,,,,,,,,,,,,,,,
KHFKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
2dfkyb1,dell precision workstation 390,10/16/2006,americas,keep your hard drive service,dell,no,10/16/2006,10/15/2009,0,client gold support / prosupport,dell,no,10/16/2006,10/15/2009,0,next business day support,uny,no,10/16/2007,10/15/2009,0,,,,,,
2I4KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
E2LKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
I76KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
j90kyb1,dell precision workstation 390,10/14/2006,americas,client gold support / prosupport,dell,no,10/14/2006,10/13/2009,0,keep your hard drive service,dell,no,10/14/2006,10/13/2009,0,next business day support,uny,no,10/14/2007,10/13/2009,0,,,,,,
P68KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
fp2kyb1,optiplex gx620,10/14/2006,americas,keep your hard drive service,dell,no,10/14/2006,10/13/2009,0,next business day support,qlx,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,
AN2KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
O0MKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
7jnkyb1,latitude d620,10/18/2006,americas,complete care,dell,no,10/18/2006,10/17/2009,0,client gold support / prosupport,dell,no,10/18/2006,10/17/2009,0,next business day support,qlx,no,10/18/2007,10/17/2009,0,,,,,,
2E9KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
P8EKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
1n3kyb1,optiplex gx620,10/14/2006,americas,client gold support / prosupport,dell,no,10/14/2006,10/13/2010,0,next business day support,uny,no,10/14/2007,10/13/2010,0,,,,,,,,,,,,
1k9kyb1,inspiron 1300/b130,10/15/2006,americas,sol,10/15/2006,10/15/2007,0,limited technical support,dell,10/15/2006,10/15/2007,0,,,,,,,,,,,,,,,
2clkyb1,inspiron 6400/e1505,10/15/2006,americas,dell,10/15/2006,10/15/2007,0,rapid response depot,sol,10/15/2006,10/15/2007,0,,,,,,,,,,,,,,,
4glkyb1,latitude d620,10/16/2006,americas,complete care,dell,no,10/16/2006,10/15/2009,0,next business day support,dc1,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,
AJIKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
KDHKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
fn5kyb1,dell precision workstation 690,10/16/2006,americas,next business day support,uny,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,,,,,,,
0CBKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
AB9KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
HHOKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
AH2KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
O0OKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
2nlkyb1,inspiron 6400/e1505,10/15/2006,americas,sol,10/15/2006,10/15/2007,0,limited technical support,dell,10/15/2006,10/15/2007,0,,,,,,,,,,,,,,,
46IKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
gfgkyb1,inspiron 9400/e1705,10/16/2006,americas,dell,10/16/2006,10/16/2007,0,rapid response depot,sol,10/16/2006,10/16/2007,0,,,,,,,,,,,,,,,
ck1kyb1,latitude d620,10/15/2006,americas,next business day support,uny,no,10/15/2007,10/14/2009,0,,,,,,,,,,,,,,,,,,
d04kyb1,optiplex gx620,10/14/2006,americas,keep your hard drive service,dell,no,10/14/2006,10/13/2009,0,next business day support,qlx,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,
P88KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
N7HKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
04AKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
P9JKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
MF1KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
d7mkyb1,optiplex 745,10/14/2006,americas,next business day support,uny,no,10/14/2007,10/13/2009,0,,,,,,,,,,,,,,,,,,
6hkkyb1,latitude d620,10/15/2006,americas,next business day support,uny,no,10/15/2007,10/14/2009,0,,,,,,,,,,,,,,,,,,
BALKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
P3NKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
840kyb1,optiplex gx620,10/13/2006,americas,client gold support / prosupport,dell,no,10/13/2006,10/12/2010,0,next business day support,uny,no,10/13/2007,10/12/2010,0,,,,,,,,,,,,
fj2kyb1,optiplex gx620,10/16/2006,americas,keep your hard drive service,dell,no,10/16/2006,10/15/2009,0,next business day support,qlx,no,10/16/2007,10/15/2009,0,,,,,,,,,,,,
OO8KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
8ODKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
I6DKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
NBBKYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
f67kyb1,dimension c521,10/16/2006,americas,next business day support,qlx,no,10/16/2006,10/16/2007,0,limited technical support,dell,no,10/16/2006,10/16/2007,0,,,,,,,,,,,,
2E9KYB1,No warranty information found.,,,,,,,,,,,,,,,,,,,,,,,,,,
